,Case,Sample 1,Sample 2,Sample 3
0,00020124_003.png,3.3333333333333335,3.0,2.0
1,00011827_003.png,1.3333333333333333,1.3333333333333333,1.3333333333333333
2,00011925_072.png,4.333333333333333,5.0,2.857142857142857
3,00012094_040.png,4.0,3.0,1.3333333333333333
4,00012174_000.png,4.0,4.0,1.75
5,00012270_005.png,3.0,3.0,4.75
6,00012592_005.png,3.0,3.0,2.5
7,00012829_004.png,2.75,4.333333333333333,4.333333333333333
8,00012892_010.png,3.3333333333333335,2.857142857142857,2.857142857142857
9,00013337_000.png,3.0,2.5,1.0
10,00013673_001.png,4.0,4.0,2.0
11,00013685_000.png,3.0,2.857142857142857,2.857142857142857
12,00013751_003.png,3.3333333333333335,4.0,2.0
13,00013911_021.png,3.3333333333333335,4.0,1.0
14,00013951_001.png,2.75,5.0,5.0
15,00013977_005.png,1.75,5.0,1.75
16,00013991_000.png,3.0,5.0,5.0
17,00014015_003.png,4.0,4.75,4.75
18,00014251_029.png,4.0,2.4,4.0
19,00014280_000.png,2.0,4.0,2.0
20,00014447_004.png,2.857142857142857,2.3333333333333335,3.0
21,00015792_005.png,4.0,4.0,2.0
22,00016429_015.png,5.0,5.0,1.0
23,00017028_000.png,4.0,4.0,2.0
24,00017137_016.png,3.0,2.4,1.3333333333333333
25,00017214_015.png,4.0,2.857142857142857,2.5
26,00012045_019.png,1.3333333333333333,4.75,1.3333333333333333
27,00012414_000.png,2.75,1.0,1.0
28,00016587_069.png,2.0,2.3333333333333335,1.3333333333333333
29,00016589_005.png,1.3333333333333333,4.75,4.75
30,00017243_010.png,4.0,2.3333333333333335,2.3333333333333335
31,00018063_000.png,1.3333333333333333,4.75,1.3333333333333333
32,00018366_000.png,3.3333333333333335,5.0,2.5
33,00019495_004.png,2.4,1.3333333333333333,1.3333333333333333
34,00019013_002.png,2.4,5.0,1.75
35,00019124_090.png,4.0,5.0,2.0
36,00019767_016.png,3.0,1.75,1.75
37,00020000_000.png,3.3333333333333335,2.5,3.0
38,00018980_002.png,1.0,2.75,1.0
39,00016267_000.png,4.75,4.75,1.3333333333333333
